Date,EURO STOXX 50,FTSE 100,MSCI China,Nasdaq-100,NYSE Arca Gold BUGS,S&P 500
02/2014,15159.822115373696,21227.117481930265,17080.58350617961,31676.599824239034,8299.735624586912,23038.09560515796
03/2014,15207.590644394199,20582.495993360808,16792.430190102332,30829.192298474074,7676.140118968935,23231.69825241435
04/2014,15509.10197993036,21447.695020465453,16409.654250304262,30723.815610769354,7909.781890284202,23403.414784552526
05/2014,15648.282526961839,21619.79172255126,17183.091348543803,32101.14244627307,7233.311302048909,23952.838863133315
06/2014,15658.213694250304,21740.576951891322,17749.455748495806,33085.244068067426,8442.167878387309,24447.616478179945
07/2014,14820.4304243337,21505.117553843447,19197.936129728983,33466.96492769833,8213.483146067416,24110.446421688997
08/2014,14880.440475631776,21565.409370712696,19241.133414471085,35151.4739953663,8635.492399206873,25075.01844490204
09/2014,14453.929868630548,20467.920247395487,18020.295867116918,34881.20156587042,6884.6662260409785,24723.395293521706
10/2014,13898.68411730242,19990.540680988186,18796.989903491776,35823.99936086922,5503.9656311963,25327.259362852514
11/2014,14482.722634240583,20254.617496505496,19091.485678043093,37419.74914116801,5742.233972240581,26008.413077710844
12/2014,13652.525178117101,19658.800832633275,19312.61463565147,36551.25029959255,5789.821546596166,25942.892380878962
01/2015,13562.990638732745,19531.38513942209,19749.73001697036,35805.6243508828,7126.900198281559,25164.07703912521
02/2015,14483.652589332438,20706.362882115558,20389.63265166189,38372.693137333226,6794.448116325181,26610.350067723066
03/2015,14254.86866291131,19445.47385494988,20880.401803315217,37469.92090756571,5658.625247851949,26189.489709396432
04/2015,14582.08015113235,20925.517871027587,24362.5829233591,38173.92346408883,6383.344348975545,26440.767087687607
05/2015,14246.783352589768,20836.771475247537,23463.667998011548,39036.19078053847,5925.9748843357565,26780.758938895062
06/2015,13960.145584599071,20103.626660445356,22178.03452354423,38091.156027802186,5323.198942498348,26262.305777934384
07/2015,14396.903479388799,20458.505961792926,19793.612972898838,39769.353678996566,3973.8929279576996,26812.55574765171
08/2015,13379.034828665459,19040.106342804458,17481.015479027028,37097.38755292801,4094.8446794448114,25194.841483961187
09/2015,12685.44416478857,18201.097509925847,17149.493460411057,36297.35559638891,3864.8380700594844,24571.431324399022
10/2015,13765.174954375887,19357.04710352622,18706.652724685875,40372.13389789886,4375.082617316589,26644.14278005968
11/2015,13573.99434206768,19002.16696126457,18075.835233213907,40569.94487497004,3953.073364177131,26723.359504905788
